hospital_id,year,month,date,total_discharges,total_charges,total_payments
H003,2024,6,2024-06-01,342,179132,99181
H003,2024,7,2024-07-01,194,172669,95317
H003,2024,8,2024-08-01,191,149233,123379
H003,2024,9,2024-09-01,255,109364,91304
H003,2024,10,2024-10-01,202,123570,104861
H003,2024,11,2024-11-01,278,195356,158833
H003,2024,12,2024-12-01,287,111417,77667
H004,2023,1,2023-01-01,266,107359,97355
H004,2023,2,2023-02-01,235,152499,114535
H004,2023,3,2023-03-01,232,124839,78411
H004,2023,4,2023-04-01,247,101754,56954
H004,2023,5,2023-05-01,225,87074,80646
H004,2023,6,2023-06-01,245,145455,101536
H004,2023,7,2023-07-01,126,135633,97828
H004,2023,8,2023-08-01,214,130266,116093
H004,2023,9,2023-09-01,143,84295,75060
H004,2023,10,2023-10-01,149,69898,54011
H004,2023,11,2023-11-01,225,116860,90919
H004,2023,12,2023-12-01,146,119257,112819
H004,2024,1,2024-01-01,162,119121,107321
H004,2024,2,2024-02-01,249,142845,118703
H004,2024,3,2024-03-01,203,104852,91613
H004,2024,4,2024-04-01,258,159632,146110
H004,2024,5,2024-05-01,208,117542,102181
H004,2024,6,2024-06-01,210,126854,110149
H004,2024,7,2024-07-01,220,87926,61568
H004,2024,8,2024-08-01,127,100973,56986
H004,2024,9,2024-09-01,160,95994,63799
H004,2024,10,2024-10-01,177,59332,33518
H004,2024,11,2024-11-01,213,89720,53905
H004,2024,12,2024-12-01,195,132798,84503
H005,2023,1,2023-01-01,166,177221,135796
H005,2023,2,2023-02-01,259,214581,201779
H005,2023,3,2023-03-01,246,158751,137807
H005,2023,4,2023-04-01,206,172842,100487
H005,2023,5,2023-05-01,162,236872,209487
H005,2023,6,2023-06-01,236,149108,92345
H005,2023,7,2023-07-01,155,119037,91621
H005,2023,8,2023-08-01,208,157864,104501
H005,2023,9,2023-09-01,229,162715,125573
H005,2023,10,2023-10-01,196,130931,84986
H005,2023,11,2023-11-01,179,179447,99728
H005,2023,12,2023-12-01,163,102412,57995
H005,2024,1,2024-01-01,276,201052,148712
H005,2024,2,2024-02-01,181,180495,133455
H005,2024,3,2024-03-01,195,175159,124258
H005,2024,4,2024-04-01,256,201353,114392
H005,2024,5,2024-05-01,210,190292,142957
H005,2024,6,2024-06-01,257,181240,111494
H005,2024,7,2024-07-01,145,165710,92897
H005,2024,8,2024-08-01,193,189213,147622
H005,2024,9,2024-09-01,168,152369,111732
H005,2024,10,2024-10-01,189,189351,133386
H005,2024,11,2024-11-01,250,197001,123778
H005,2024,12,2024-12-01,157,109459,61000
H006,2023,1,2023-01-01,265,109274,97029
H006,2023,2,2023-02-01,268,168094,111402
H006,2023,3,2023-03-01,295,158209,126816
H006,2023,4,2023-04-01,461,159563,139041
H006,2023,5,2023-05-01,311,94806,80608
H006,2023,6,2023-06-01,394,165508,118346
H006,2023,7,2023-07-01,284,134263,92147
H006,2023,8,2023-08-01,364,133078,96028
H006,2023,9,2023-09-01,325,121609,71901
H006,2023,10,2023-10-01,359,103858,91455
H006,2023,11,2023-11-01,274,144740,102140
H006,2023,12,2023-12-01,235,157413,92325
H006,2024,1,2024-01-01,319,173786,161663
H006,2024,2,2024-02-01,392,148471,108291
H006,2024,3,2024-03-01,335,117958,96608
H006,2024,4,2024-04-01,433,165634,143413
H006,2024,5,2024-05-01,270,127209,72893
H006,2024,6,2024-06-01,342,113305,102550
H006,2024,7,2024-07-01,280,76267,46309
H006,2024,8,2024-08-01,335,113205,66841
H006,2024,9,2024-09-01,212,117279,67916
H006,2024,10,2024-10-01,345,120488,70189
H006,2024,11,2024-11-01,231,152755,106883
H006,2024,12,2024-12-01,307,148609,138042
H007,2023,1,2023-01-01,267,156775,112829
H007,2023,2,2023-02-01,299,108460,81025
H007,2023,3,2023-03-01,173,156209,89432
H007,2023,4,2023-04-01,185,109257,88463
H007,2023,5,2023-05-01,262,159766,149360
H007,2023,6,2023-06-01,197,115442,103602
H007,2023,7,2023-07-01,164,176637,98009
H007,2023,8,2023-08-01,237,76922,69726
H007,2023,9,2023-09-01,184,165133,95697
H007,2023,10,2023-10-01,191,166742,126597
H007,2023,11,2023-11-01,212,149060,109084
H007,2023,12,2023-12-01,229,148725,135408
H007,2024,1,2024-01-01,166,123531,114904
H007,2024,2,2024-02-01,297,151842,121177
H007,2024,3,2024-03-01,212,120249,88440
H007,2024,4,2024-04-01,219,167962,97601
H007,2024,5,2024-05-01,294,208035,172516
H007,2024,6,2024-06-01,217,118097,103396
H007,2024,7,2024-07-01,218,94093,86035
H007,2024,8,2024-08-01,221,164851,138522
H007,2024,9,2024-09-01,193,110682,102169
H007,2024,10,2024-10-01,226,77122,43230
H007,2024,11,2024-11-01,182,160896,152032
H007,2024,12,2024-12-01,168,149819,105226
H008,2023,1,2023-01-01,291,186491,106775
H008,2023,2,2023-02-01,393,299347,284345
H008,2023,3,2023-03-01,426,254480,218240
H008,2023,4,2023-04-01,409,306385,198825
H008,2023,5,2023-05-01,298,160205,149250
H008,2023,6,2023-06-01,304,165892,135812
H008,2023,7,2023-07-01,283,173759,103460
H008,2023,8,2023-08-01,274,187360,160928
H008,2023,9,2023-09-01,246,230851,177931
H008,2023,10,2023-10-01,257,239918,170676
H008,2023,11,2023-11-01,206,122112,104046
H008,2023,12,2023-12-01,306,246484,156563
H008,2024,1,2024-01-01,240,139319,96162
H008,2024,2,2024-02-01,340,218777,158611
H008,2024,3,2024-03-01,408,214093,161767
H008,2024,4,2024-04-01,378,219600,175424
H008,2024,5,2024-05-01,374,309697,188552
H008,2024,6,2024-06-01,359,210554,137554
H008,2024,7,2024-07-01,258,271267,202649
H008,2024,8,2024-08-01,223,204040,131821
H008,2024,9,2024-09-01,181,126634,76134
H008,2024,10,2024-10-01,196,131095,105708
H008,2024,11,2024-11-01,214,171799,156116
H008,2024,12,2024-12-01,281,240293,148724
H009,2023,1,2023-01-01,204,79598,47619
H009,2023,2,2023-02-01,260,95397,66368
H009,2023,3,2023-03-01,271,146240,82731
H009,2023,4,2023-04-01,314,137450,80092
H009,2023,5,2023-05-01,310,158576,91090
H009,2023,6,2023-06-01,204,137389,116685
H009,2023,7,2023-07-01,176,78344,54698
H009,2023,8,2023-08-01,203,105104,73316
H009,2023,9,2023-09-01,196,112373,63454
H009,2023,10,2023-10-01,174,112409,102076
H009,2023,11,2023-11-01,219,104702,62074
H009,2023,12,2023-12-01,228,113235,73261
H009,2024,1,2024-01-01,218,106986,59701
H009,2024,2,2024-02-01,238,95907,65312
H009,2024,3,2024-03-01,209,166559,131154
H009,2024,4,2024-04-01,295,153537,115057
H009,2024,5,2024-05-01,190,122154,95858
H009,2024,6,2024-06-01,270,104322,62700
H009,2024,7,2024-07-01,189,90898,73478
H009,2024,8,2024-08-01,214,84966,80259
H009,2024,9,2024-09-01,213,74083,43761
H009,2024,10,2024-10-01,162,76506,46995
H009,2024,11,2024-11-01,177,84529,52352
H009,2024,12,2024-12-01,292,73297,55691
H010,2023,1,2023-01-01,273,145593,136535
H010,2023,2,2023-02-01,457,208918,136457
H010,2023,3,2023-03-01,306,192494,177431
H010,2023,4,2023-04-01,387,176194,116638
H010,2023,5,2023-05-01,414,118854,80757
H010,2023,6,2023-06-01,317,148386,96000
H010,2023,7,2023-07-01,236,148499,98818
H010,2023,8,2023-08-01,302,92844,68932
H010,2023,9,2023-09-01,287,80416,55056
H010,2023,10,2023-10-01,225,83503,78992
H010,2023,11,2023-11-01,274,170246,110975
H010,2023,12,2023-12-01,368,178192,140460
H010,2024,1,2024-01-01,350,147367,101616
H010,2024,2,2024-02-01,471,210724,197239
H010,2024,3,2024-03-01,295,200937,185934
H010,2024,4,2024-04-01,303,108853,92138
H010,2024,5,2024-05-01,372,201907,122337
H010,2024,6,2024-06-01,390,112282,69105
H010,2024,7,2024-07-01,245,170759,139352
H010,2024,8,2024-08-01,292,113835,102551
H010,2024,9,2024-09-01,263,157117,114012
H010,2024,10,2024-10-01,267,124497,83481
H010,2024,11,2024-11-01,352,136723,87897
H010,2024,12,2024-12-01,411,133788,102671
H011,2023,1,2023-01-01,271,274001,219497
H011,2023,2,2023-02-01,333,151557,131492
H011,2023,3,2023-03-01,404,222628,202047
H011,2023,4,2023-04-01,434,153671,103680
H011,2023,5,2023-05-01,299,242239,136480
H011,2023,6,2023-06-01,341,228131,205479
H011,2023,7,2023-07-01,274,219224,130274
H011,2023,8,2023-08-01,344,115162,81640
H011,2023,9,2023-09-01,328,115377,74037
H011,2023,10,2023-10-01,323,192928,155588
H011,2023,11,2023-11-01,338,180363,117365
H011,2023,12,2023-12-01,297,140517,128345
H011,2024,1,2024-01-01,370,186607,137119
H011,2024,2,2024-02-01,470,153956,120777
H011,2024,3,2024-03-01,378,236157,131597
H011,2024,4,2024-04-01,453,286681,222479
H011,2024,5,2024-05-01,394,271191,225873
H011,2024,6,2024-06-01,259,200050,158576
H011,2024,7,2024-07-01,289,207391,191576
H011,2024,8,2024-08-01,358,157598,93817
H011,2024,9,2024-09-01,359,203711,122199
H011,2024,10,2024-10-01,357,212596,161048
H011,2024,11,2024-11-01,320,160311,91682
H011,2024,12,2024-12-01,295,234224,129257
H012,2023,1,2023-01-01,195,96586,66503
H012,2023,2,2023-02-01,182,90433,66096
H012,2023,3,2023-03-01,170,74402,45113
H012,2023,4,2023-04-01,162,75894,54459
H012,2023,5,2023-05-01,238,64342,50330
H012,2023,6,2023-06-01,192,41058,33479
H012,2023,7,2023-07-01,132,85160,51902
H012,2023,8,2023-08-01,146,39107,37102
H012,2023,9,2023-09-01,151,61531,35492
H012,2023,10,2023-10-01,178,44939,40859
H012,2023,11,2023-11-01,135,46818,26434
H012,2023,12,2023-12-01,175,70745,40769
H012,2024,1,2024-01-01,222,69599,52878
H012,2024,2,2024-02-01,193,69960,54138
H012,2024,3,2024-03-01,162,57664,51592
H012,2024,4,2024-04-01,254,68291,44955
H012,2024,5,2024-05-01,207,67022,37542
H012,2024,6,2024-06-01,141,78877,64171
H012,2024,7,2024-07-01,117,48375,31077
H012,2024,8,2024-08-01,170,36034,21319
H012,2024,9,2024-09-01,178,42466,34444
H012,2024,10,2024-10-01,130,39767,25739
H012,2024,11,2024-11-01,186,79915,70492
H012,2024,12,2024-12-01,167,76301,48221
H013,2023,1,2023-01-01,282,96659,61200
H013,2023,2,2023-02-01,300,113260,88707
H013,2023,3,2023-03-01,406,203298,178287
H013,2023,4,2023-04-01,379,122744,86151
H013,2023,5,2023-05-01,420,117779,94183
H013,2023,6,2023-06-01,350,140123,101512
H013,2023,7,2023-07-01,300,169075,144633
H013,2023,8,2023-08-01,253,151550,112900
H013,2023,9,2023-09-01,390,141773,102088
H013,2023,10,2023-10-01,230,95387,73128
H013,2023,11,2023-11-01,370,100331,60774
H013,2023,12,2023-12-01,445,186653,141907
H013,2024,1,2024-01-01,320,118270,65918
H013,2024,2,2024-02-01,523,105516,82366
H013,2024,3,2024-03-01,368,161406,130830
H013,2024,4,2024-04-01,502,116299,64475
H013,2024,5,2024-05-01,311,190889,171715
H013,2024,6,2024-06-01,392,145340,118599
H013,2024,7,2024-07-01,276,165686,118881
H013,2024,8,2024-08-01,300,118819,67582
H013,2024,9,2024-09-01,252,136118,79373
H013,2024,10,2024-10-01,342,93202,65774
H013,2024,11,2024-11-01,299,110066,92193
H013,2024,12,2024-12-01,325,141669,104894
H014,2023,1,2023-01-01,439,132146,74328
H014,2023,2,2023-02-01,347,193613,110469
H014,2023,3,2023-03-01,411,197315,134903
H014,2023,4,2023-04-01,471,123300,71520
H014,2023,5,2023-05-01,438,170567,140779
H014,2023,6,2023-06-01,344,126935,111403
H014,2023,7,2023-07-01,391,170241,112164
H014,2023,8,2023-08-01,329,123145,72240
H014,2023,9,2023-09-01,381,96028,89315
H014,2023,10,2023-10-01,302,103654,79477
H014,2023,11,2023-11-01,406,174663,152415
H014,2023,12,2023-12-01,393,183736,163465
H014,2024,1,2024-01-01,327,169736,108373
H014,2024,2,2024-02-01,524,243846,137960
H014,2024,3,2024-03-01,463,245428,152712
H014,2024,4,2024-04-01,422,239734,135108
H014,2024,5,2024-05-01,431,143432,131922
H014,2024,6,2024-06-01,460,215838,159652
H014,2024,7,2024-07-01,404,187900,127328
H014,2024,8,2024-08-01,374,87235,68785
H014,2024,9,2024-09-01,255,94268,54749
H014,2024,10,2024-10-01,349,120806,101465
H014,2024,11,2024-11-01,245,125532,96131
H014,2024,12,2024-12-01,421,136152,108970
H015,2023,1,2023-01-01,299,129521,116314
H015,2023,2,2023-02-01,267,285616,217517
H015,2023,3,2023-03-01,482,277112,263027
H015,2023,4,2023-04-01,341,266716,189574
H015,2023,5,2023-05-01,352,230393,207231
H015,2023,6,2023-06-01,428,236220,169394
H015,2023,7,2023-07-01,292,214087,138195
H015,2023,8,2023-08-01,221,149537,99426
H015,2023,9,2023-09-01,247,130079,73733
H015,2023,10,2023-10-01,205,235242,169635
H015,2023,11,2023-11-01,285,205749,131124
H015,2023,12,2023-12-01,421,239032,140016
H015,2024,1,2024-01-01,339,272476,252828
H015,2024,2,2024-02-01,367,239682,147839
H015,2024,3,2024-03-01,494,175643,162837
H015,2024,4,2024-04-01,408,238685,180225
H015,2024,5,2024-05-01,299,154965,98897
H015,2024,6,2024-06-01,269,237980,164218
H015,2024,7,2024-07-01,225,247406,223534
H015,2024,8,2024-08-01,363,236215,146348
H015,2024,9,2024-09-01,264,199460,165234
H015,2024,10,2024-10-01,228,211973,135615
H015,2024,11,2024-11-01,256,185216,145797
H015,2024,12,2024-12-01,347,130922,117958
H016,2023,1,2023-01-01,299,191593,171447
H016,2023,2,2023-02-01,302,165911,127808
H016,2023,3,2023-03-01,195,139206,97315
H016,2023,4,2023-04-01,218,173960,130183
H016,2023,5,2023-05-01,181,108979,89722
H016,2023,6,2023-06-01,168,167313,125159
H016,2023,7,2023-07-01,206,129750,114163
H016,2023,8,2023-08-01,178,129832,100787
H016,2023,9,2023-09-01,165,144651,125697
H016,2023,10,2023-10-01,215,145521,130520
H016,2023,11,2023-11-01,235,153392,127160
H016,2023,12,2023-12-01,250,143008,121712
H016,2024,1,2024-01-01,193,183193,164642
H016,2024,2,2024-02-01,183,186050,111917
H016,2024,3,2024-03-01,234,179468,110247
H016,2024,4,2024-04-01,304,186795,140654
H016,2024,5,2024-05-01,170,116489,92815
H016,2024,6,2024-06-01,291,144388,94418
H016,2024,7,2024-07-01,225,124683,107469
H016,2024,8,2024-08-01,150,137379,105301
H016,2024,9,2024-09-01,245,96978,77878
H016,2024,10,2024-10-01,247,77508,71686
H016,2024,11,2024-11-01,232,79048,52992
H016,2024,12,2024-12-01,254,85406,66861
H017,2023,1,2023-01-01,346,102972,96731
H017,2023,2,2023-02-01,641,100096,60261
H017,2023,3,2023-03-01,588,52620,29406
H017,2023,4,2023-04-01,447,82674,70947
H017,2023,5,2023-05-01,528,75943,50080
H017,2023,6,2023-06-01,575,69479,50758
H017,2023,7,2023-07-01,327,84411,69847
H017,2023,8,2023-08-01,320,42783,35176
H017,2023,9,2023-09-01,411,51379,47800
H017,2023,10,2023-10-01,304,60770,56360
H017,2023,11,2023-11-01,390,75871,53795
H017,2023,12,2023-12-01,382,102430,73107
H017,2024,1,2024-01-01,588,62230,39531
H017,2024,2,2024-02-01,359,93556,65246
H017,2024,3,2024-03-01,620,83096,77884
H017,2024,4,2024-04-01,406,108037,92980
H017,2024,5,2024-05-01,553,101273,86528
H017,2024,6,2024-06-01,476,52057,29308
H017,2024,7,2024-07-01,513,74676,64864
H017,2024,8,2024-08-01,381,44578,26750
H017,2024,9,2024-09-01,418,59265,37349
H017,2024,10,2024-10-01,383,41849,32758
H017,2024,11,2024-11-01,352,84561,57006
H017,2024,12,2024-12-01,431,44990,26048
H018,2023,1,2023-01-01,279,26874,22251
H018,2023,2,2023-02-01,336,41486,23474
H018,2023,3,2023-03-01,278,23596,15262
H018,2023,4,2023-04-01,357,24202,18140
H018,2023,5,2023-05-01,282,37473,28998
H018,2023,6,2023-06-01,172,25835,19559
H018,2023,7,2023-07-01,170,24433,13762
H018,2023,8,2023-08-01,159,23950,14443
H018,2023,9,2023-09-01,216,29365,25554
H018,2023,10,2023-10-01,174,19159,11338
H018,2023,11,2023-11-01,245,32333,18191
H018,2023,12,2023-12-01,309,19247,14753
H018,2024,1,2024-01-01,296,41821,34947
H018,2024,2,2024-02-01,326,29543,25877
H018,2024,3,2024-03-01,210,45396,34911
H018,2024,4,2024-04-01,329,32604,26325
H018,2024,5,2024-05-01,267,38225,22271
H018,2024,6,2024-06-01,180,23930,14688
H018,2024,7,2024-07-01,277,21516,20232
H018,2024,8,2024-08-01,192,19464,16853
H018,2024,9,2024-09-01,228,25463,19661
H018,2024,10,2024-10-01,241,20432,19380
H018,2024,11,2024-11-01,291,31087,19579
H018,2024,12,2024-12-01,271,19732,11094
H019,2023,1,2023-01-01,353,84569,71636
H019,2023,2,2023-02-01,290,65947,46058
H019,2023,3,2023-03-01,399,48390,43396
H019,2023,4,2023-04-01,318,71524,60087
H019,2023,5,2023-05-01,286,92942,84603
H019,2023,6,2023-06-01,256,54685,43033
H019,2023,7,2023-07-01,310,47324,37820
H019,2023,8,2023-08-01,252,68725,41415
H019,2023,9,2023-09-01,258,75101,46703
H019,2023,10,2023-10-01,197,79766,49645
H019,2023,11,2023-11-01,301,61197,39710
H019,2023,12,2023-12-01,328,63657,48120
H019,2024,1,2024-01-01,264,76885,47315
H019,2024,2,2024-02-01,284,103465,67588
H019,2024,3,2024-03-01,338,65850,56590
H019,2024,4,2024-04-01,236,103490,75704
H019,2024,5,2024-05-01,243,47145,29131
H019,2024,6,2024-06-01,272,57890,51033
H019,2024,7,2024-07-01,238,49199,39204
H019,2024,8,2024-08-01,263,42494,26220
H019,2024,9,2024-09-01,165,67286,54873
H019,2024,10,2024-10-01,230,73871,64435
H019,2024,11,2024-11-01,261,79719,50409
H019,2024,12,2024-12-01,206,54308,31109
H020,2023,1,2023-01-01,301,114450,83649
H020,2023,2,2023-02-01,551,147061,110721
H020,2023,3,2023-03-01,322,126117,119136
H020,2023,4,2023-04-01,559,104133,96919
H020,2023,5,2023-05-01,450,212325,155399
H020,2023,6,2023-06-01,390,151235,123520
H020,2023,7,2023-07-01,280,88076,59290
H020,2023,8,2023-08-01,378,101105,82842
H020,2023,9,2023-09-01,421,87568,71721
H020,2023,10,2023-10-01,325,171878,106712
H020,2023,11,2023-11-01,399,179333,166393
H020,2023,12,2023-12-01,429,152252,121365
H020,2024,1,2024-01-01,508,173308,97425
H020,2024,2,2024-02-01,550,198562,162941
H020,2024,3,2024-03-01,369,197792,139946
H020,2024,4,2024-04-01,476,118155,96076
H020,2024,5,2024-05-01,540,104752,98557
H020,2024,6,2024-06-01,365,197858,170742
H020,2024,7,2024-07-01,372,168078,151506
H020,2024,8,2024-08-01,317,114401,93469
H020,2024,9,2024-09-01,389,156924,136386
H020,2024,10,2024-10-01,323,166534,99601
H020,2024,11,2024-11-01,367,85341,58017
H020,2024,12,2024-12-01,355,139922,115881
H021,2023,1,2023-01-01,163,40891,26207
H021,2023,2,2023-02-01,152,51787,42324
H021,2023,3,2023-03-01,223,47258,33171
H021,2023,4,2023-04-01,249,48559,36014
H021,2023,5,2023-05-01,139,39726,27890
H021,2023,6,2023-06-01,170,45045,34389
H021,2023,7,2023-07-01,178,47453,41530
H021,2023,8,2023-08-01,178,50253,28005
H021,2023,9,2023-09-01,125,21806,17640
H021,2023,10,2023-10-01,195,29273,26954
H021,2023,11,2023-11-01,123,52764,36441
H021,2023,12,2023-12-01,137,41852,27317
H021,2024,1,2024-01-01,169,38489,33532
H021,2024,2,2024-02-01,209,40609,32248
H021,2024,3,2024-03-01,235,39825,28491
H021,2024,4,2024-04-01,158,35629,29302
H021,2024,5,2024-05-01,157,46421,38697
H021,2024,6,2024-06-01,138,44609,29112
H021,2024,7,2024-07-01,213,38640,33709
H021,2024,8,2024-08-01,162,23378,18778
H021,2024,9,2024-09-01,195,38905,34145
H021,2024,10,2024-10-01,193,28819,18294
H021,2024,11,2024-11-01,178,36368,32220
H021,2024,12,2024-12-01,224,37366,24091
H022,2023,1,2023-01-01,273,196579,160608
H022,2023,2,2023-02-01,182,241848,176720
H022,2023,3,2023-03-01,257,164477,138941
H022,2023,4,2023-04-01,293,170180,100114
H022,2023,5,2023-05-01,163,233129,184833
H022,2023,6,2023-06-01,218,152984,108062
H022,2023,7,2023-07-01,208,179674,169812
H022,2023,8,2023-08-01,144,195901,139428
H022,2023,9,2023-09-01,173,194350,160722
H022,2023,10,2023-10-01,239,119073,70448
H022,2023,11,2023-11-01,223,191436,126283
H022,2023,12,2023-12-01,159,130193,118173
H022,2024,1,2024-01-01,186,179770,115171
H022,2024,2,2024-02-01,219,144247,109284
H022,2024,3,2024-03-01,181,277771,178741
H022,2024,4,2024-04-01,246,286951,232531
H022,2024,5,2024-05-01,233,179931,122928
H022,2024,6,2024-06-01,234,271731,221388
H022,2024,7,2024-07-01,203,213379,157064
H022,2024,8,2024-08-01,136,177892,165982
H022,2024,9,2024-09-01,145,190696,120209
H022,2024,10,2024-10-01,189,114774,83802
H022,2024,11,2024-11-01,227,158173,129063
H022,2024,12,2024-12-01,250,261299,168239
H023,2023,1,2023-01-01,233,193516,148229
H023,2023,2,2023-02-01,228,154151,123233
H023,2023,3,2023-03-01,145,185818,111692
H023,2023,4,2023-04-01,226,185816,154877
H023,2023,5,2023-05-01,130,121525,79628
H023,2023,6,2023-06-01,153,89915,83151
H023,2023,7,2023-07-01,160,104806,74285
H023,2023,8,2023-08-01,141,126144,95399
H023,2023,9,2023-09-01,178,113775,107729
H023,2023,10,2023-10-01,176,89524,82562
H023,2023,11,2023-11-01,119,155636,109295
H023,2023,12,2023-12-01,206,173688,151520
H023,2024,1,2024-01-01,212,121704,70876
H023,2024,2,2024-02-01,178,112012,92743
H023,2024,3,2024-03-01,175,213018,171775
H023,2024,4,2024-04-01,226,107039,95779
H023,2024,5,2024-05-01,226,142750,113129
H023,2024,6,2024-06-01,194,99275,74558
H023,2024,7,2024-07-01,145,89003,62036
H023,2024,8,2024-08-01,108,72460,43770
H023,2024,9,2024-09-01,182,118571,111021
H023,2024,10,2024-10-01,140,99172,74622
H023,2024,11,2024-11-01,149,84961,68506
H023,2024,12,2024-12-01,139,147016,119094
H024,2023,1,2023-01-01,216,336935,193101
H024,2023,2,2023-02-01,345,351873,227194
H024,2023,3,2023-03-01,247,180004,120838
H024,2023,4,2023-04-01,235,292706,168281
H024,2023,5,2023-05-01,296,337289,295326
H024,2023,6,2023-06-01,292,189733,151702
H024,2023,7,2023-07-01,257,195414,117694
H024,2023,8,2023-08-01,293,187519,117733
H024,2023,9,2023-09-01,214,177744,156595
H024,2023,10,2023-10-01,271,237459,131650
H024,2023,11,2023-11-01,240,204596,114098
H024,2023,12,2023-12-01,234,271291,164088
H024,2024,1,2024-01-01,300,186381,103413
H024,2024,2,2024-02-01,261,350289,304966
H024,2024,3,2024-03-01,401,255707,151862
H024,2024,4,2024-04-01,318,244444,217003
H024,2024,5,2024-05-01,223,239105,145858
H024,2024,6,2024-06-01,245,267172,197816
H024,2024,7,2024-07-01,234,190162,139536
H024,2024,8,2024-08-01,279,256648,239230
H024,2024,9,2024-09-01,272,162671,134244
H024,2024,10,2024-10-01,229,157024,139178
H024,2024,11,2024-11-01,183,274451,201609
H024,2024,12,2024-12-01,296,253160,229881
H025,2023,1,2023-01-01,362,248791,151779
H025,2023,2,2023-02-01,588,260223,213927
H025,2023,3,2023-03-01,380,175164,146529
H025,2023,4,2023-04-01,382,169312,93941
H025,2023,5,2023-05-01,624,291767,201698
H025,2023,6,2023-06-01,400,200652,172532
H025,2023,7,2023-07-01,462,157838,97803
H025,2023,8,2023-08-01,301,223897,191599
H025,2023,9,2023-09-01,332,119566,69691
H025,2023,10,2023-10-01,508,165972,142352
H025,2023,11,2023-11-01,453,191044,120792
H025,2023,12,2023-12-01,352,249060,214155
H025,2024,1,2024-01-01,532,251124,142332
H025,2024,2,2024-02-01,660,319287,213005
H025,2024,3,2024-03-01,675,283664,222100
H025,2024,4,2024-04-01,591,321978,261636
H025,2024,5,2024-05-01,380,213458,196644
H025,2024,6,2024-06-01,380,204751,148000
H025,2024,7,2024-07-01,406,230031,213291
H025,2024,8,2024-08-01,335,138357,87024
H025,2024,9,2024-09-01,477,216478,143819
H025,2024,10,2024-10-01,471,255818,227321
H025,2024,11,2024-11-01,527,169154,144122
H025,2024,12,2024-12-01,445,290476,244405
H026,2023,1,2023-01-01,328,232404,219358
H026,2023,2,2023-02-01,540,149612,92149
H026,2023,3,2023-03-01,339,283358,248537
H026,2023,4,2023-04-01,354,236885,209946
H026,2023,5,2023-05-01,464,231904,182308
H026,2023,6,2023-06-01,380,174876,135705
